etapa,carater,codigo_interno,denominacao,carga_horaria,departamento,lista_pre_requisitos,tipo_atividade_ensino,sumula,observacao
10,Eletiva,INF01145,Bancos de Dados,60,INA,"[""INF01203""]",Disciplina,"Sistemas de gerência de banco de dados. Abordagem relacional: modelo de dados e restrições de integridade; formas normais; álgebra relacional; SQL (DDL, DML); visões, gatilhos, procedimentos armazenados. Plano de consultas. Transações. Controle de concorrência e bloqueio. Recuperação. Autorização.",
10,Eletiva,EDU03071,LÍNGUA BRASILEIRA DE SINAIS (LIBRAS),30,EDU,,Disciplina,"Aspectos linguísticos da Língua Brasileira de Sinais (LIBRAS). História das comunidades surdas, da cultura e das identidades surdas. Ensino básico da LIBRAS. Políticas linguísticas e educacionais para surdos.",
10,Eletiva,ENG04434,PRINCÍPIOS DE COMUNICAÇÃO,60,ENG,"[""ENG04010"", ""ENG04077"", ""ENG10017""]",Disciplina,"Análise de sinais. Estudo matemático dos sistemas de comunicação com modulação em amplitude, freqüência, comportadora suprimida e por pulsos. Moduladores e de moduladores.",
10,Eletiva,ENG04477,PROCESSAMENTO DIGITAL DE SINAIS,60,ENG,"[""ENG10017"", ""ENG10032""]",Disciplina,Transformada discreta de Fourier. Filtros digitais. Projeto e implementação de processadores digitais de sinais.,
10,Eletiva,INF01059,Sistemas Embarcados: Fundamentos e Arquiteturas,60,INA,"[""CDNovo"", ""INF01142""]",Disciplina,Aplicações de sistemas embarcados. Arquiteturas de hardware e software. Metodologias e etapas de projeto e desenvolvimento. Sistemas operacionais embarcados. Princípios de tempo real. Configuração e adaptação dos sistemas operacionais. Ambientes de desenvolvimento. Projeto baseado em plataformas de hardware e software. Estudos de caso.,
10,Eletiva,ENG04057,TESTE DE SISTEMAS ELETRÔNICOS,60,ENG,"[""INF01113"", ""INF01185""]",Disciplina,"Noções de teste de sistemas eletrônicos nos mais diferentes niveis de projeto, portas lógicas, blocos funcionais e arquitetura. Conceitos de teste como observalidade, controlabilidade e cobertura de falhas. Técnicas mais usuais como ""boundary scan"", BIST, ""self-checking"", entre outros. Teste em sistemas analógicos.",
10,Adicional,INF05026,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VII,60,INT,"[""#cred(100)""]",Tópicos Especiais,-,
,Eletiva,PAA2,Projeto e Análise de Algoritmos II,60,INT,"[""PAA1""]",Disciplina,"Análise e corretude de algoritmos. Projeto e implementação de algoritmos: Divisão e Conquista, Programação Dinâmica, e técnicas avançadas de projeto. Estruturas de dados avançadas.",
,Eletiva,INF01030,Visão Computacional II,60,INA,"[""INF01046""]",Disciplina,"Revisão de Modelos de Câmeras e Percepção Visual;  Espaços de Cores; Transformada Wavelet; Filtragem Avançada de Imagens (Filtros Cientes a Bordas, Filtragem usando Equações Diferenciais Parciais); Técnicas Avançadas de Segmentação de Imagens;  Representação e Análise de Texturas; Detecção de Curvas e Linhas; Casamento Estéreo e Structure-from-Motion; Detecção e Casamento de Pontos-Chave; Detecção e Rastreamento de Objetos; Fluxo Ótico.",
,Eletiva,INF01216,Modelagem e Gerenciamento de Processos de Negócio,60,INA,"[""INF01127""]",Disciplina,Fundamentos de Modelagem e Gerenciamento de Processos de Negócio. Tendências em Gerenciamento de Processos de Negócio.,
,Eletiva,ENG10055,SISTEMAS DE TEMPO REAL - I,60,ENG,"[""INF01113""]",Disciplina,Caracterização de sistemas tempo-real. Sistemas operacionais tempo-real: métodos de escalonamento. Linguagens de programação para sistemas tempo-real.,
,Eletiva,INF05009,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IX,60,INT,"[""#cred(100)""]",Tópicos Especiais,"Assuntos relacionados a inovações tecnológicas decorrentes de pesquisas recentes ou a aplicações específicas, de interesse a um grupo restrito ou tendo caráter de temporalidade, enfocando aspectos não abordados ou abordados superficialmente em disciplinas regulares.",
,Eletiva,INF01054,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VII,60,INA,"[""#cred(100)""]",Tópicos Especiais,"Assuntos relacionados a inovações tecnológicas decorrentes de pesquisas recentes ou a aplicações específicas, de interesse a um grupo restrito ou tendo caráter de temporalidade, enfocando aspectos não abordados ou abordados superficialmente em disciplinas regulares.",
,Eletiva,INF01055,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VIII,60,INA,"[""#cred(100)""]",Tópicos Especiais,"Assuntos relacionados a inovações tecnológicas decorrentes de pesquisas recentes ou a aplicações específicas, de interesse a um grupo restrito ou tendo caráter de temporalidade, enfocando aspectos não abordados ou abordados superficialmente em disciplinas regulares.",
,Eletiva,INF01063,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XII,60,INA,"[""#cred(100)""]",Tópicos Especiais,"Assuntos relacionados a inovações tecnológicas decorrentes de pesquisas recentes ou a aplicações específicas de interesse a um grupo restrito ou tendo caráter de temporalidade, enfocando aspectos não abordados ou abordados superficialmente em disciplinas regulares.",
,Eletiva,INF05013,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XV,60,INT,"[""#cred(100)""]",Tópicos Especiais,"Assuntos relacionados a inovações tecnológicas decorrentes de pesquisas recentes ou a aplicações específicas de interesse a um grupo restrito ou tendo caráter de temporalidade, enfocando aspectos não abordados ou abordados superficialmente em disciplinas regulares.",
,Eletiva,ENG10057,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IX,60,ENG,,Tópicos Especiais,"Tópicos avançados em Engenharia de Computação, variáveis a cada oferecimento da disciplina.",
,Eletiva,ENG10056,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VIII,30,ENG,,Tópicos Especiais,"Tópicos avançados em Engenharia de Computação, variáveis a cada oferecimento da disciplina.",
,Eletiva,ENG10058,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO X,90,ENG,,Tópicos Especiais,"Tópicos avançados em Engenharia de Computação, variáveis a cada oferecimento da disciplina.",
,Eletiva,ENG04038,ELETRÔNICA III,90,ENG,"[""ENG04078"", ""ENG10017""]",Disciplina,"TJB e MOSFET. Análise completa de circuitos transistorizados. Distorção. Realimentação, estabilidade e compensação. Estrutura interna de amplificadores operacionais. Filtros ativos. Circuitos a capacitor chaveado. Ruído intrínseco em dispositivos eletrônicos. PLL e amplificador Lock-In. Técnicas de projeto e simulação.",
,Eletiva,ENG04065,PROJETO DE SISTEMAS ANALÓGICOS E MISTOS INTEGRADOS,60,ENG,"[""ENG04078"", ""ENG04055"", ""INF01185""]",Disciplina,"Síntese e implementação de sistemas lógicos. Memórias. Discretização e reconstrução de sinais. Conversores Nyquist-rate e sobre-amostragem. Conversão DA e AD: características, limitações, técnicas e implementação. Fontes de referência. Casamento entre dispositivos e robustez de circuitos. Projeto de sistemas mistos complexos.",
,Eletiva,ENG04064,PROJETO DE SISTEMAS DE RF INTEGRADOS,60,ENG,"[""ENG04078"", ""ENG04010"", ""ENG04055""]",Disciplina,Especificações de sistemas de RF. Modulação e distorção. Acoplamento e redes de casamento. Interferência entre circuitos. Amplificadores de baixo ruído. Misturadores e filtros. Osciladores de RF. PLLs para RF. mplificadores para RF. Sintonia e ajuste. Omplementação e dependência tecnológica.,
,Eletiva,ENG10054,ROBÓTICA MÓVEL,60,ENG,"[""ENG10017"", ""INF01120"", ""MAT02219""+""MAT02050""]",Disciplina,"Comportamento não-holonômico, modelagem cinemática e dinâmica de robôs móveis, controle de robôs móveis, localização, mapeamento de ambiente, localização e mapeamento simultâneos, aspectos de implementação, plataformas para robótica móvel.",
,Eletiva,TopicosNovoXXXVII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXVII,60,INA,"[""#cred(94)""]",Tópicos Especiais,"Assuntos relacionados a inovações tecnológicas decorrentes de pesquisas recentes, aplicações específicas, interessando a um grupo restrito ou tendo caráter de temporariedade, aspectos abordados superficialmente em disciplinas regulares.",
,Eletiva,TopicosNovoXXXVIII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXVIII,60,INA,"[""#cred(94)""]",Tópicos Especiais,"Assuntos relacionados a inovações tecnológicas decorrentes de pesquisas recentes, aplicações específicas, interessando a um grupo restrito ou tendo caráter de temporariedade, aspectos abordados superficialmente em disciplinas regulares.",
,Eletiva,TopicosNovoXXXIX,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXIX,60,INA,"[""#cred(94)""]",Tópicos Especiais,"Assuntos relacionados a inovações tecnológicas decorrentes de pesquisas recentes, aplicações específicas, interessando a um grupo restrito ou tendo caráter de temporariedade, aspectos abordados superficialmente em disciplinas regulares.",
,Eletiva,TopicosNovoXL,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XL,60,INA,"[""#cred(94)""]",Tópicos Especiais,"Assuntos relacionados a inovações tecnológicas decorrentes de pesquisas recentes, aplicações específicas, interessando a um grupo restrito ou tendo caráter de temporariedade, aspectos abordados superficialmente em disciplinas regulares.",
,Eletiva,TopicosNovoXLI,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XLI,60,INA,"[""#cred(94)""]",Tópicos Especiais,"Assuntos relacionados a inovações tecnológicas decorrentes de pesquisas recentes, aplicações específicas, interessando a um grupo restrito ou tendo caráter de temporariedade, aspectos abordados superficialmente em disciplinas regulares.",
,Eletiva,TopicosNovoXLII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XLII,60,INT,"[""#cred(94)""]",Tópicos Especiais,"Assuntos relacionados a inovações tecnológicas decorrentes de pesquisas recentes, aplicações específicas, interessando a um grupo restrito ou tendo caráter de temporariedade, aspectos abordados superficialmente em disciplinas regulares.",
,Eletiva,TopicosNovoXLIII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XLIII,60,INT,"[""#cred(94)""]",Tópicos Especiais,"Assuntos relacionados a inovações tecnológicas decorrentes de pesquisas recentes, aplicações específicas, interessando a um grupo restrito ou tendo caráter de temporariedade, aspectos abordados superficialmente em disciplinas regulares.",
,Eletiva,TopicosNovoXLIV,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XLIV,60,INT,"[""#cred(94)""]",Tópicos Especiais,"Assuntos relacionados a inovações tecnológicas decorrentes de pesquisas recentes, aplicações específicas, interessando a um grupo restrito ou tendo caráter de temporariedade, aspectos abordados superficialmente em disciplinas regulares.",
,Eletiva,TopicosNovoXLV,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XLV,60,INT,"[""#cred(94)""]",Tópicos Especiais,"Assuntos relacionados a inovações tecnológicas decorrentes de pesquisas recentes, aplicações específicas, interessando a um grupo restrito ou tendo caráter de temporariedade, aspectos abordados superficialmente em disciplinas regulares.",
,Eletiva,TopicosNovoXLVI,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XLVI,60,INT,"[""#cred(94)""]",Tópicos Especiais,"Assuntos relacionados a inovações tecnológicas decorrentes de pesquisas recentes, aplicações específicas, interessando a um grupo restrito ou tendo caráter de temporariedade, aspectos abordados superficialmente em disciplinas regulares.",
,Eletiva,DLVC,Aprendizado Profundo para Computação Visual,60,INA,"[""INF01202"", ""MAT01355"", ""MAT01354"", ""MAT02219""+""MAT02050""]",Disciplina,Redes Neurais Convolucionais. Classificação de Imagens.  Detecção de Objetos. Segmentação de Imagens. Modelos Generativos.  Questões Éticas e Sociais envolvendo Imagens e Modelos Generativos. Tópicos Especiais em Aprendizado Profundo. Questões Éticas e Sociais Envolvendo Imagens e Vídeos.,
FakeExcluída,Eletiva,INF05515,COMPLEXIDADE DE ALGORITMOS - B,60,INT,"[""PAA1"", ""TeoCompECP""]",Disciplina,"Noção de complexidade. Estudo de complexidade via métodos de desenvolvimento de algoritmos; algoritmos iterativos e recursivos. Análise da complexidade de algoritmos clássicos em várias áreas da computação. Noções de intratabilidade; classes P, NP e NP completa. Algoritmos aproximativos.",
FakeExcluída,Eletiva,INF05512,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA,60,INT,"[""MAT01375""]",Disciplina,"Grafos: caminhos e árvores, planaridade, coloração, grafos infinitos. Análise combinatória: distribuição, permutação e combinação. Enumeração por recursão. Cardinalidade da união de conjuntos. Enumeração de um conjunto relativo a um grupo de permutação.",
FakeExcluída,Eletiva,INF01112,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,60,INA,"[""Arq""]",Disciplina,"Arquitetura do microprocessador 8088/8086. Ferramentas para desenvolvimento e depuração de programas assembly em ambiente MSDOS. Utilização de pseudo-instruções. Organização de software em ambientes MSDOS: BIOS, DOS, programas COM e EXE. Conjunto de instruções do 8088. Conceito e implementação de subrotinas. Utilização de instruções de entrada e saída para comunicação com pastilhas periféricas. Conceito e utilização de interrupções no 8088/8086. Organização de entrada e saída: entrada e saída mapeada em espaço de entrada e mapeada em memória. Conceitos de interface, periférico e controlador. Métodos de transferência de dados. Polling. Interrupção: conceito, ciclos de atendimento, mecanismos de identificação, níveis, prioridades. Acesso direto à memória: conceito, princípio de funcionamento, políticas de transferência, arquiteturas de ADM. Dispositivos de E/S: teclado, vídeo, impressora e disco.",
FakeExcluída,Eletiva,INF01121,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO,60,INA,"[""PAA1""]",Disciplina,"1. Tipos, escopo, tempo de amarração de variáveis. 2. Subrotina, co-rotinas, passagem de parâmetros, recursividade. 3. Paralelismo, sincronização, etc. 4. Paradigmas de Programação: Imperativo, Funcional, Lógico, OO.",
FakeExcluída,Eletiva,INF01018,SISTEMAS OPERACIONAIS DISTRIBUÍDOS E DE REDES,60,INA,"[""SDTF""]",Disciplina,"1. Introdução: sistemas distribuídos x centralizados, aspectos de hardware em multiprocessadores e multicomputadores. 2. Sistemas operacionais de rede: conceito e princípio. 3. Comunicação em sistemas distribuídos: modelo cliente-servidor, TCP/IP, RPC . 4. Sincronização em sistemas distribuídos. 5. Sistema de Arquivos Distribuídos: conceitos gerais, NFS. 6. Servidores de nomes. 7. Estudos de casos.",
FakeExcluída,Eletiva,INF01015,GERÊNCIA E APLICAÇÕES EM REDES,60,INA,"[""Redes""]",Disciplina,"1. Visão geral dos componentes das redes, seu  uso e formas de gerenciamento: 1.1 Componentes físicos: modens, linhas, CHUBS, pontes, roteadores, servidores, estações de trabalho, etc. 1.2 Componentes lógicos: recursos de informação e aplicações. 2. Arquiteturas de gerenciamento de redes. 2.1 Protocolos de gerenciamento: OSI e SNMP. 2.2 Objetos gerenciados. 3. Interoperabilidade entre aplicações em rede: 3.1 Serviços e protocolos: internet: SMTP, FTP, GOPHER, WWW etc. OSI: X400, X500, FTTAM 2.2  API(Application Program Interface).",
